id|timestamp|speaker|text
1|00:00|부인|어서 오세요. 차 여기 있어요.
2|00:02|나|어, 지하층 내려왔어요.
3|00:04|부인|어디? 나 안 보이는데?
4|00:06|나|내려왔는데? GFC 맞잖아.
5|00:09|부인|어. 엘리베이터 타고 내려왔어요? 여기 에스컬레이터 앞에 있는데 나?
6|00:13|나|에스컬레이터?
7|00:14|부인|어. 엘리베이터 타고 내려왔지?
8|00:17|부인|엘리베이터면 어디 있는 거야?
9|00:19|나|어허.
10|00:20|부인|주차장 앞에 있어요? 화장실 앞에 있어요?
11|00:24|나|화장, 화장실 둘 다 안 보이고요.
12|00:28|부인|음.
13|00:29|부인|뭐가 보여요, 그럼?
14|00:32|나|여기 i4라, i4가 보이네요. i4. i4 구역.
15|00:38|부인|i4, 아, 주차장에 가 있어요?
16|00:40|나|어.
17|00:41|부인|아하. 알았어요.
18|00:43|나|저기 나오는 게 당신이네.
19|00:45|부인|그러네.
